companyid	company_name
1386	Safello Group
1387	Safeture
1388	Saga Furs
1389	Saga Pure
1390	Sagax A
1391	Sagax B
1392	Sagax D
1393	SalMar
1394	Salmon Evolution
1395	SaltX Technology
1396	Samhällsbyggnadsbolag B
1397	Samhällsbyggnadsbolag D
1398	Sampo
1399	Samtrygg
1400	Sandvik
1401	Saniona
1402	Sanoma
1403	SARSYS
1404	SATS
1405	SaveLend
1406	Saxlund
1407	SCA A
1408	SCA B
1409	Scana
1410	ScandBook
1411	Scandi Standard
1412	Scandic Hotels
1413	ScandiDos
1414	Scandinavian Astor
1415	Scandinavian Enviro
1416	Scandinavian Investment
1417	Scandinavian Medical
1418	Scandinavian Real Heart
1419	Scandinavian Tobacco
1420	Scandion Oncology
1421	Scanfil
1422	Scatec
1423	Schibsted A
1424	Schibsted B
1425	Schouw & Co.
1426	Scibase
1427	Scout Gaming
1428	Sdiptech
1429	Sdiptech Pref
1430	Sea1 Offshore
1431	SeaBird Exploration
1432	Seacrest Petroleo Bermuda
1433	Seafire
1434	Seamless Distribution Systems
1435	SeaTwirl
1436	SEB A
1437	SEB C
1438	SECITS Holding
1439	Sectra
1440	Securitas
1441	Sedana Medical
1442	SEHED Byggmästargruppen
1443	Selvaag Bolig
1444	SensoDetect
1445	Sensys Gatso
1446	SenzaGen
1447	Senzime
1448	Serstech
1449	ShaMaran
1450	Shape Robotics
1451	Shelf Drilling
