file_name	processed	type
9e8ef858_eda-notification-of-share-purchase-krt-1500.pdf	TRUE	other
9e8ef858_lhd-notification-of-share-purchase-krt-1500.pdf	TRUE	other
a153657a_eng-ctt-ar-2025-final.pdf	TRUE	Annual report
a1692616_stillfront-successfully-issues-new-bonds-of-sek-1-billion-announces-results-from-the-tender-offer-and-gives-conditional-notice-of-early-redemption.pdf	TRUE	other
a18b1657_pressmeddelande.pdf	TRUE	other
a335a542_notice-of-annual-general-meeting-2026-fagerhult-group-ab-publ.pdf	TRUE	other
a3f41b1f_attendo-ar25-se.pdf	TRUE	other
a4aebe07_strong-early-demand-for-sleep-apnea-risk-detection-over-150-000-registrations.pdf	TRUE	other
a5b047fd_number-of-shares-and-votes-in-oncopeptides.pdf	TRUE	other
a836da14_260331-jm-saljer-bostadsprojekt-i-sollentuna-stockholm.pdf	TRUE	other
a875c07a_2026-03-27-pdmr-transactions-kog.pdf	TRUE	other
a8d893cf_4015530.pdf	TRUE	other
a8fed620_8b6ae51ce739f655.pdf	TRUE	other
a99ff9ae_4012468.pdf	TRUE	other
aa36f51e_valberedningens-forslag-till-styrelse-i-wastbygg-gruppen-ab-publ.pdf	TRUE	other
aa983a8f_eolus-ab-ars-och-hallbarhetsredovisning-2025.pdf	TRUE	Annual report
ab639823_4012781.pdf	TRUE	other
abc83e99_4014627.pdf	TRUE	Annual report
ac40d40c_netel-expands-cooperation-with-norwegian-electricity-company-glitre-nett-with-new-framework-agreement-worth-up-to-300-mnok.pdf	TRUE	other
ac91efb2_31-03.pdf	TRUE	other
acd5839a_midsona-acquires-risenta-one-of-swedens-leading-brands-within-natural-and-healthy-foods.pdf	TRUE	other
adc73d9c_ars-och-hallbarhetsredovisning-2025.pdf	TRUE	Annual report
addc45bf_release.pdf	TRUE	other
ae4defc5_4013423.pdf	TRUE	other
ae8a07b7_4017717.pdf	TRUE	other
aea77fb9_mycronic-erhaller-order-pa-en-slx-maskritare.pdf	TRUE	other
af238baa_4008714.pdf	TRUE	Annual report
af5c8cff_medicover-annual-report-2025.pdf	TRUE	Annual report
b01a8278_notice-of-the-annual-general-meeting-for-granges-ab.pdf	TRUE	other
b12db115_report-from-the-extraordinary-general-meeting-of-seafire-ab-publ.pdf	TRUE	other
b13a956e_4012885.pdf	TRUE	other
b3019959_prisma-properties-divests-two-properties-in-norway-exits-the-norwegian-market.pdf	TRUE	other
b3443b5a_kallelse-till-arsstamma-2026-ctt-systems-ab-publ.pdf	TRUE	other
b372af6a_4013193.pdf	TRUE	other
b38eebf3_notice-to-attend-the-annual-general-meeting-in-stockwik-forvaltning-ab-publ.pdf	TRUE	other
b4339791_20260331_pm_isofol_outcome-to1-2026.pdf	TRUE	other
b45db720_hexagon-composites-asa-2026-03-27-form.pdf	TRUE	other
b51080f0_alimak-group-notice-agm-2026.pdf	TRUE	other
b563b2f4_orexo-agm-2026-notice-publ-march-30.pdf	TRUE	other
b57f5047_4013377.pdf	TRUE	other
b5be617b_cint-group-ars-och-hallbarhetsredovisning-2025.pdf	TRUE	Annual report
b5eaaacd_4016008.pdf	TRUE	other
b6c40851_nomination-committees-proposal-for-board-members-in-meko.pdf	TRUE	other
b807993e_begroup-ar-2025-sve.pdf	TRUE	Annual report
b887b433_krt_1500_skjema_for_melding_om_transaksjoner_26_mars_2026_no2.pdf	TRUE	other
b887b433_release.pdf	TRUE	other
ba19c0e8_handelse-i-nanologicas-lokaler-ingen-skada-pa-personal-eller-instrument.pdf	TRUE	other
bad841d6_4016951.pdf	TRUE	Annual report
bad841d6_a70b660c96040a47.pdf	TRUE	other
